e_c,Age_16_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75,Avg
Currently using,5,9,8,11,8,6,1,7
Ever previously useda,18,18,15,9,10,5,1,11
Never used,77,74,77,80,82,89,98,81
