s_a,Age_16_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75,Avg
Very good,38,47,41,33,27,23,15,34
Good,47,38,40,44,40,41,35,41
Fair,13,11,13,15,21,26,33,18
Bad,2,4,3,6,9,5,12,5
Very Bad,-,0,2,3,2,6,4,2
