e_c,Age_16_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75,Avg
Currently using,5,10,9,11,7,5,1,7
Ever previously used,20,21,17,10,11,4,1,13
Never used,76,69,74,79,82,91,99,80
