s_a,Age_16_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75,Avg
Very good,42,42,43,35,31,24,19,34
Good,45,41,40,36,33,37,34,38
Fair,11,14,10,20,23,25,33,19
Bad,2,3,4,5,10,10,11,6
Very Bad,-,1,3,4,4,4,3,3
